segment_id,street,start_latitude,start_longitude,end_latitude,end_longitude,street_norm,geometry
1225,Halsted,41.903637,-87.6479,41.91092,-87.64809,HALSTED,"LINESTRING (446261.1732641738 4639280.167423725, 446252.09474129503 4640088.815380517)"
1226,Halsted,41.91092,-87.64809,41.91818,-87.648315,HALSTED,"LINESTRING (446252.09474129503 4640088.815380517, 446239.20536488254 4640894.951857059)"
1227,Halsted,41.91818,-87.648315,41.925453,-87.64857,HALSTED,"LINESTRING (446239.20536488254 4640894.951857059, 446224.43620310404 4641702.79791126)"
1228,Halsted,41.925453,-87.64857,41.93272,-87.64882,HALSTED,"LINESTRING (446224.43620310404 4641702.79791126, 446209.66624566127 4642509.797970428)"
1230,Halsted,41.93998,-87.64908,41.947315,-87.6493,HALSTED,"LINESTRING (446194.2630371418 4643315.956820087, 446182.0916171611 4644130.563610342)"
1231,Halsted,41.947315,-87.6493,41.954563,-87.649506,HALSTED,"LINESTRING (446182.0916171611 4644130.563610342, 446171.11606177455 4644935.42045803)"
1240,Halsted,41.75609,-87.64437,41.750645,-87.64423,HALSTED,"LINESTRING (446431.285946956 4622896.170754307, 446438.1771010697 4622291.713227169)"
1241,Halsted,41.7652,-87.6446,41.75609,-87.64437,HALSTED,"LINESTRING (446419.8399132778 4623908.118898915, 446431.285946956 4622896.170754307)"
1242,Halsted,41.772472,-87.64479,41.7652,-87.6446,HALSTED,"LINESTRING (446410.0373344378 4624715.481013462, 446419.8399132778 4623908.118898915)"
1243,Halsted,41.77975,-87.64497,41.772472,-87.64479,HALSTED,"LINESTRING (446400.8795842527 4625523.686483268, 446410.0373344378 4624715.481013462)"
1244,Halsted,41.787025,-87.64516,41.77975,-87.64497,HALSTED,"LINESTRING (446391.72296711925 4626331.469477735, 446400.8795842527 4625523.686483268)"
1302,Balbo,41.872993,-87.62756,41.873158,-87.61731,BALBO,"LINESTRING (447923.34917233966 4635865.360805759, 448774.3763970235 4635877.402512256)"
501,Archer,41.813988,-87.70426,41.819862,-87.69449,ARCHER,"LINESTRING (441504.9940110457 4629363.5224416, 442322.02299071086 4630009.154282445)"
